query_id,engine,query_time_ms
query_1,duckdb,61.19
query_1,sparkIceberg,3389
query_10,duckdb,7092.26
query_10,sparkIceberg,19610
query_11,duckdb,5041.888
query_11,sparkIceberg,20184
query_12,duckdb,4150.954
query_12,sparkIceberg,12081
query_13,duckdb,4892.033
query_13,sparkIceberg,19743
query_14,duckdb,7212.41
query_14,sparkIceberg,26984
query_15,duckdb,8615.43
query_15,sparkIceberg,18207
query_16,duckdb,25671.448
query_16,sparkIceberg,67447
query_2,duckdb,8337.37
query_2,sparkIceberg,18655
query_3,duckdb,5344.57
query_3,sparkIceberg,17325
query_4,duckdb,5878.344
query_4,sparkIceberg,19445
query_5,duckdb,4538.667
query_5,sparkIceberg,18892
query_6,duckdb,6605.047
query_6,sparkIceberg,24888
query_7,duckdb,2040.174
query_7,sparkIceberg,9064
query_8,duckdb,6672.699
query_8,sparkIceberg,23775
query_9,duckdb,2098.824
query_9,sparkIceberg,8699
